"","dyadID","gender","self_object_appearance","self_object_ability","other_object_appearance","other_object_ability","self_object.tavg","other_object.tavg","relation_qual.avg"
"1",377033,"Woman",3.6,7.4,3.4,7.6,3.8,4.2,NA
"2",377033,"Man",7.4,3.6,5.4,5.6,-3.8,0.199999999999999,NA
"3",737834,"Woman",7.2,3.8,7.8,3.2,-3.4,-4.6,6
"4",737834,"Man",6.8,4.2,6,5,-2.6,-1,7.5
"5",919757,"Woman",3.8,7.2,6.2,4.8,3.4,-1.4,8.4
"6",919757,"Man",4.4,6.6,4,7,2.2,3,8.8
"7",938324,"Woman",4.8,6.2,6,5,1.4,-1,8.5
"8",938324,"Man",7.4,3.6,5,6,-3.8,1,8.5
"9",1063439,"Woman",8,3,7.2,3.8,-5,-3.4,NA
"10",1063439,"Man",6.4,4.6,6.6,4.4,-1.8,-2.2,NA
"11",1151456,"Woman",5.6,5.4,7.4,3.6,-0.199999999999999,-3.8,8.7
"12",1151456,"Man",7,4,5.2,5.8,-3,0.6,8.8
"13",1213424,"Man",7.4,3.6,6.6,4.4,-3.8,-2.2,7.1
"14",1213424,"Woman",5,6,6,5,1,-1,5.8
"15",1215551,"Woman",6.4,4.6,5.6,5.4,-1.8,-0.199999999999999,4.5
"16",1215551,"Man",6.6,4.4,7.4,3.6,-2.2,-3.8,NA
"17",1534532,"Woman",6.8,4.2,5.4,5.6,-2.6,0.199999999999999,4.8
"18",1534532,"Man",5.6,5.4,3.8,7.2,-0.199999999999999,3.4,6.2
"19",1796138,"Man",6.8,4.2,6.4,4.6,-2.6,-1.8,5.4
"20",1796138,"Woman",4.2,6.8,4.6,6.4,2.6,1.8,4.8
"21",1836239,"Man",7.8,3.2,5.2,5.8,-4.6,0.6,7.1
"22",1836239,"Woman",5,6,5.8,5.2,1,-0.6,8.5
"23",2048975,"Man",5.8,5.2,4.8,6.2,-0.6,1.4,7.2
"24",2048975,"Woman",5.6,5.4,7,4,-0.199999999999999,-3,7
"25",2192258,"Woman",5.6,5.4,7.6,3.4,-0.199999999999999,-4.2,5.7
"26",2192258,"Man",7.8,3.2,6.6,4.4,-4.6,-2.2,6.2
"27",2262764,"Woman",6.4,4.6,6.6,4.4,-1.8,-2.2,8.4
"28",2262764,"Man",7.6,3.4,5.4,5.6,-4.2,0.199999999999999,8.7
"29",4052115,"Woman",6.6,4.4,6,5,-2.2,-1,8.4
"30",4052115,"Man",6.6,4.4,4.2,6.8,-2.2,2.6,8.4
"31",4292443,"Woman",5,6,5.6,5.4,1,-0.199999999999999,7
"32",4292443,"Man",5.8,5.2,6.2,4.8,-0.6,-1.4,6.3
"33",4593178,"Woman",5.2,5.8,5.8,5.2,0.6,-0.6,8
"34",4593178,"Man",6,5,4.6,6.4,-1,1.8,7.9
"35",5339697,"Man",5.2,5.8,6,5,0.6,-1,8
"36",5339697,"Woman",6.4,4.6,7.6,3.4,-1.8,-4.2,8.7
"37",6359824,"Woman",7.2,3.8,6.6,4.4,-3.4,-2.2,6.8
"38",6359824,"Man",6.8,4.2,5.8,5.2,-2.6,-0.6,8.4
"39",6894072,"Woman",6.4,4.6,5.2,5.8,-1.8,0.6,8.3
"40",6894072,"Man",4.6,6.4,5.4,5.6,1.8,0.199999999999999,4.7
"41",7403083,"Woman",5.6,5.4,5,6,-0.199999999999999,1,4.5
"42",7403083,"Man",4.4,6.6,6,5,2.2,-1,5
"43",10211595,"Woman",6.8,4.2,5.8,5.2,-2.6,-0.6,5.1
"44",10211595,"Man",5.8,5.2,6.8,4.2,-0.6,-2.6,6.5
"45",14872733,"Woman",7.4,3.6,8,3,-3.8,-5,7.6
"46",14872733,"Man",7.2,3.8,4,7,-3.4,3,7.2
"47",15149174,"Man",6.2,4.8,6.2,4.8,-1.4,-1.4,7.3
"48",15149174,"Woman",6,5,6.2,4.8,-1,-1.4,7.3
